,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
46,02340007,4438,79,1.7800811176205498,127.9109,129.5642,128.07999999999998,129.25740000000002,22,0.4957187922487607,127.9109,129.5642,-3,3
7,01370001,5796,103,1.777087646652864,368.462378,370.240201,369.0060288750001,370.32059987499997,53,0.914423740510697,368.462378,370.240201,-3,3
146,03090015,8043,140,1.7406440382941688,44.4025,53.387,47.41069749999998,55.11998150000001,77,0.9573542210617928,44.4025,53.387,-3,3
221,05080002,6441,110,1.7078093463747865,787.4199150000001,789.9409,787.5204545,789.6953225000001,0,0.0,787.4199150000001,789.9409,-3,3
224,05097002,6595,111,1.6830932524639879,157.098384,160.635,157.34382499999995,160.40602500000003,1,0.015163002274450343,157.098384,160.635,-3,3
108,03030017,5295,88,1.6619452313503307,104.765,106.68012,104.98499999999997,106.87380000000003,32,0.6043437204910292,104.765,106.68012,-3,3
136,03090005,7924,131,1.6532054517920243,56.6367,59.036,57.0806625,59.13156249999999,51,0.6436143361938416,56.6367,59.036,-3,3
3,01120001,6066,100,1.6485328058028355,7.504203999999994,8.921409999999995,7.339905249999995,8.437597249999996,16,0.26376524892845365,7.504203999999994,8.921409999999995,-3,3
219,05070001,10368,168,1.6203703703703702,143.728,146.069,143.8609975,146.08500150000003,0,0.0,143.728,146.069,-3,3
90,03027061,6961,112,1.6089642292774025,316.444,339.812,319.74950750000005,336.63522350000005,92,1.3216491883350092,316.444,339.812,-3,3
266,08A10001,6471,104,1.607170452789368,260.929396,261.7039,261.06837925,261.5699772500001,43,0.6645031679802195,260.929396,261.7039,-3,3
36,02310003,4252,68,1.5992474129821261,312.2044,313.599,312.33388750000006,313.3425874999999,33,0.7761053621825024,312.2044,313.599,-3,3
114,03040002,5410,84,1.5526802218114601,17.18,18.588521,17.102900000000005,18.323499999999996,22,0.4066543438077634,17.18,18.588521,-3,3
161,04010003,2471,38,1.537838931606637,237.8972,241.0843,237.25197500000002,240.239775,26,1.0522055847834884,237.8972,241.0843,-3,3
159,04010001,7550,114,1.5099337748344372,69.74499999999999,75.46719999999999,68.94304875000002,74.26137074999998,39,0.5165562913907286,69.74499999999999,75.46719999999999,-3,3
227,05150001,5188,77,1.4841942945258288,51.110813,54.72190000000001,50.11064874999998,54.08751875000003,46,0.8866615265998458,51.110813,54.72190000000001,-3,3
193,04300009,5930,87,1.4671163575042159,320.503123,322.9494,320.131134375,322.885319375,0,0.0,320.503123,322.9494,-3,3
192,04300008,6012,86,1.430472388556221,302.782375,303.4821,302.669392625,303.40675162499997,42,0.6986027944111777,302.782375,303.4821,-3,3
128,03040018,4887,69,1.4119091467157765,158.1166,159.4268,158.43342500000003,159.458025,32,0.6547984448536934,158.1166,159.4268,-3,3
1,01070001,7279,102,1.4012913861794203,61.9794,63.67019999999999,61.831299999999985,63.058499999999995,28,0.38466822365709574,61.9794,63.67019999999999,-3,3
66,03000003,2502,35,1.3988808952837728,40.378,47.832,41.50099999999998,50.23700000000003,17,0.6794564348521183,40.378,47.832,-3,3
148,03090019,4054,55,1.3566847557967439,59.075999,60.806,59.313050000000004,60.95091600000001,27,0.6660088801184015,59.075999,60.806,-3,3
182,04080001,4657,63,1.3528022331973373,184.788,194.0207,184.41325,193.19445000000002,3,0.06441915396177797,184.788,194.0207,-3,3
55,02400002,5634,76,1.348952786652467,84.5021,85.7154,84.61029700000002,85.83679500000001,15,0.26624068157614483,84.5021,85.7154,-3,3
218,05040003,5557,74,1.3316537700197948,144.913,147.243595,144.49869999999999,146.73950000000002,32,0.5758502789274789,144.913,147.243595,-3,3
235,06010001,5697,75,1.3164823591363874,20.3691,22.670266,19.987606500000002,22.3068505,22,0.38616815868000703,20.3691,22.670266,-3,3
35,02310002,4596,60,1.3054830287206265,315.9052,317.2401,315.88582499999995,316.94522500000005,21,0.45691906005221933,315.9052,317.2401,-3,3
248,06290001,5697,74,1.298929261014569,223.6951,225.241118,223.44309249999998,225.00953650000002,8,0.14042478497454802,223.6951,225.241118,-3,3
89,03027032,6388,82,1.2836568566061366,210.854,226.247614,217.11980487499997,224.559407875,22,0.34439574201628054,210.854,226.247614,-3,3
217,05040001,10499,132,1.257262596437756,150.2812,152.669,149.909,152.21299999999997,60,0.5714829983807982,150.2812,152.669,-3,3
142,03090011,6024,72,1.1952191235059761,59.39200099999999,60.85699999999999,59.158002499999995,60.661998499999996,33,0.5478087649402391,59.39200099999999,60.85699999999999,-3,3
9,02000002,6196,74,1.1943189154293092,32.13315,33.293511,31.941613750000013,33.07370374999999,9,0.14525500322788895,32.13315,33.293511,-3,3
185,04300001,5871,68,1.1582353943110202,77.555,81.067512,77.86305025000001,81.44224824999998,12,0.2043944813490036,77.555,81.067512,-3,3
176,04040001,4658,53,1.137827393731215,155.306,157.882827,155.24464112500002,157.70066212499998,0,0.0,155.306,157.882827,-3,3
188,04300004,5994,66,1.1011011011011012,324.154031,327.67207,323.54965874999994,327.00362674999997,59,0.9843176509843177,324.154031,327.67207,-3,3
41,02340002,5436,58,1.0669610007358352,292.195507,300.5751,295.56519000000003,300.964328,46,0.8462104488594555,292.195507,300.5751,-3,3
43,02340004,5837,62,1.0621894808977215,305.427423,306.333602,305.3744674999999,306.11456750000013,37,0.6338872708583176,305.427423,306.333602,-3,3
127,03040017,5329,56,1.050853818727716,158.1056,159.4443,158.40403499999996,159.41421900000006,28,0.525426909363858,158.1056,159.4443,-3,3
186,04300002,6473,68,1.0505175343735516,287.8871,290.373308,287.6604675000001,290.06748749999997,22,0.33987331994438436,287.8871,290.373308,-3,3
255,07230001,3157,33,1.0452961672473868,632.717585,633.9355429999999,632.6198240000001,633.7809519999998,21,0.6651884700665188,632.717585,633.9355429999999,-3,3
189,04300005,6211,63,1.0143294155530511,324.5017,327.632238,323.93529,327.21616600000004,59,0.949927547898889,324.5017,327.632238,-3,3
95,03030003,5559,56,1.0073754272351143,33.6221,34.59999999999999,33.75662625,34.65802425,27,0.48569886670264434,33.6221,34.59999999999999,-3,3
15,02000008,4170,42,1.0071942446043165,0.9464999999999995,4.6495,2.4434124999999995,3.7707125000000006,23,0.5515587529976019,0.9464999999999995,4.6495,-3,3
247,06230001,5449,54,0.9910075243163884,164.4584,165.871643,164.43604999999997,165.80733000000004,0,0.0,164.4584,165.871643,-3,3
162,04010004,2212,21,0.949367088607595,170.679,172.0682,170.85851250000005,171.56081249999997,10,0.45207956600361665,170.679,172.0682,-3,3
112,03037071,7072,66,0.9332579185520362,167.275,168.22,167.277849125,167.929272125,33,0.4666289592760181,167.275,168.22,-3,3
287,12000001,4667,43,0.9213627598028712,95.791689,97.999,96.84092575,97.85272375,34,0.7285193914720377,95.791689,97.999,-3,3
203,04640001,7213,63,0.8734229862747818,63.06079999999999,66.687,63.5919475,66.9200315,50,0.6931928462498267,63.06079999999999,66.687,-3,3
210,05000002,4137,36,0.8701957940536621,4.8736,6.214399,4.987349999999999,6.284550000000003,2,0.048344210780759005,4.8736,6.214399,-3,3
181,04060005,2197,19,0.864815657715066,212.0464,213.5701,211.88425,213.46224999999998,7,0.31861629494765586,212.0464,213.5701,-3,3
257,08010001,6547,56,0.8553535970673591,308.193671,310.5806,308.4992199999999,311.06275200000005,42,0.6415151978005194,308.193671,310.5806,-3,3
288,13000001,3395,29,0.8541973490427098,1.023500000000002,1.8857,1.0080000000000027,1.813600000000001,9,0.2650957290132548,1.023500000000002,1.8857,-3,3
156,03097182,6483,54,0.8329477093937991,34.806,37.696,34.489758749999986,37.12694475000003,33,0.5090236001850995,34.806,37.696,-3,3
292,13000005,3421,28,0.8184741303712365,0.7318999999999996,1.4589,0.7112000000000025,1.326399999999997,12,0.35077462730195846,0.7318999999999996,1.4589,-3,3
70,03010003,4050,31,0.7654320987654322,114.416393,115.761844,114.4530645,115.7516925,0,0.0,114.416393,115.761844,-3,3
256,07480001,6523,47,0.7205273647094895,6.197900000000001,7.931703,5.904242499999999,7.666262500000002,31,0.47524145331902495,6.197900000000001,7.931703,-3,3
